author	comment	vote
风情小海龙	看着这个导演有点担忧啊	1
查理N世	李港仁电影平均五分多，也就两星到三星，期望别太高	2
Pig.	期待	3
嬉皮笑脸	英雄的故事，非常喜欢，就是不放心导演啊。	1
直木	不管怎么样都很期待，希望国内也能拍出好看的登山电影。。。一定支持	3
看岁月怎么漫长	这阵容 我太期待了	2
Ren.	期待，等电影上映我一定要在影院喊一声“毛主席万岁！”	3
天牛	唯一让我不放心的也就是导演了……	3
喝豆浆的长颈鹿	吴京胡歌都很期待阿～～	3
🚀	对这个导演真的没有信心！！！！！！！！！！！！！！	2
多读书多看报	吴京和张译感觉能碰撞出火花 期待	3
小儿	不看好………希望会被打脸吧	2
西西弗斯	那么多导演不能请。你请李仁港来拍电影？我也是服气。	1
开小心	登顶珠峰，我译哥，主旋律我也追了	1
蒋校长大战太祖	阿来作为编剧我感觉剧本会很靠谱，毕竟也是真人真事改编的，不过这个导演以前的作品，总让我感觉不太放心啊。	3
共产主义接班人	我真的等不及了🥺	6
欧志	可以叫吴京中国京了……	0
qjbfs	冲着这个陈容也会去看的	2
幻海沉沙	还是挺期待的	0
青梅醅雪	期待。上一次让人感觉蛮爽的李仁港电影是2011年的鸿门宴传奇，希望李导这次手握钦点演员阵容的片子能找回他二十年前的水平吧	3
Sourire	期待杨光	3
Scarlett	我爱阿中 先支持一下	3
小熠	看了一眼这个导演以前拍的东西，emmm，替吴京捏把汗	1
simple(简约主义	不会让人失望的一部正能量爱国电影	2
溪边咸水	一部全员担心导演的片子	3
漫迹云	看了预告，感觉剧情有点单薄，估计这次要凉，可惜了豪华阵容。如果是第一次登顶更好拍吧，不过200人剩下7个太惨烈，估计广电不给过。。	0
溺水的鱼	吴京出品，必属精品。相信吴京的眼光！	4
bubudeer	超感兴趣	0
一只淡定的橙子	不管评价怎样，都会贡献一张票	4
埃瑞克(Eric)	这么强大的阵容怕还是救不了这个导演吧！	3
闸北陆小哄	章子怡真是女神	1
Mr楪	胡歌！	4
半生吃鱼	看这阵容，再看这阵容近年来的选剧本能力，保底7分的电影吧	2
Viye.	希望能看到的是艺术创作	2
黄岛	看着李导演拍过的片，心里不由得犯嘀咕，乐观点说，人是在发展变化的，再给你一次机会，哈哈，话说我有剧本不知道谁能拍	2
CJ	如果是徐克导演，必将国庆档头魁！	1
一夏经年	演员阵容很强，徐克保驾护航，预告差点意思，特效感觉五毛，希望正片能带来惊喜	2
敏泓	影院看到宣传海报上有张译，期待。	3
Lion King Charl	世上无难事，只要肯登攀。	0
🐰Faye	哇，两个撞上了	1
善待傻瓜好吗	许愿大爆，许愿好看 成龙接剧本不敢评价，子怡和吴京大概还是有水准的吧（……	2
IDA_07	呃呃呃呃呃…九月片单突然好充实…看！🐎！	1
祖灵鸟之啼	李仁港还行	2
karrymeyrrak	9.30~	2
perper	这个ok	2
小狮子	不管谁演的，只要好看就去看。	2
李力	吴京	2
长铗归	这阵容，票房稳了	1
Love紫	阵容强大	1
夏小屿	很期待这部片子，本来的故事就很好，只是担心导演能否驾驭这个题材。希望是今年最后一个季度的大爆片。	1
hjh20050505	看导演，看编剧，看演员，这部影片必看。	1
一只小怪兽呀	国庆大概是要住电影院了	3
朗月清风	sir：王炸阵容，他们联手要创造国产片新高度
？	1
我有姿势我自豪	京宇宙!	0
叶倪杉～	自从看了《战狼2》，《流浪地球》，我对只要是吴京的电影都想去支持一下，听说吴京有部新电影《一百零八》，看了下梗概，吴京真会选！	1
小聪明	章子怡	1
珍贵的尧尧	就冲着胡歌，吴京，章子怡。我也一定去看。	3
@追风筝的人	今年又一爆款，不信等十一再见证！	2
charliemo	导演居然是李仁港？我XX，千万别扑街！	3
🐱	老胡状态不错，好奇会是怎么样呈现	3
江南卖米郎	别的都好说，我也不管是不是献礼片，李仁港你确定你能接这个活儿？	6
孟美味	为什么是李仁港？。。	1
南烛	作为胡歌的男粉	4
嘉煒_Kavi	这演员阵容实在太豪华了	3
poppydoozzz	妈耶编剧有我喜欢的作家阿来...	1
隙中驹	70周年上映，加上最近被港毒激发的爱国情绪，电影质量不差的话，我觉得票房要爆	3
轻舞	看过预告和幕后花絮，拍摄环境太艰苦了，演员不容易。预告血崩那块非常的抓人眼球！演员基本都是喜欢的演员，非常的期待了！就等十一上映！	3
直上青天	加油，这阵容很期待	2
ASKA斑	攀登	1
風吹褲衩屁屁涼	看到这阵容，吴京，胡歌，井柏然，张译还有王景春，都很不错不错，额⊙∀⊙！章子怡是个＊＊＊？	4
爱与死都冷	演职员表给我看呆了。点开导演的条目我傻了。	1
哈哈哈啊啊啊	感觉不错	0
瞎猫	飞过去那个镜头……是沈石溪的斑羚嘛？	2
萝莉御姐控	特别想看，	1
晖	全新的题材，希望导演不要辜负这么好的档期和这么强大的阵容	2
鸟飞	光看演员阵容还行，都是会挑片子的演员	3
💈	冲着这个阵容也要去看。但是以导演这个历史作品的评分来看……何德何能诶	0
击灭	导演是不稳定因素啊～	1
ellen	奇怪的人员组合，演员配置里面，喜欢的演员只有吴京、苗苗，其余的都不怎么喜欢，演员名气大不一定是好事啊，对应负面也多，还不如选有演技的新人呢。冷门的内容貌似不太吸引人，这片子票房得看口碑了。	4
是悲哀啊	必须看	0
清语	上映之后一定去贡献票房	1
A～A	冲！中华民族	1
友人	强大阵容，优秀演员	1
avernus	年度期待，但是看了下导演电影的平均分，有点点慌	3
Mr.季	期待张译!	3
Gaius	对李仁港的能力表示质疑。不过还是会去看一下。	1
今夕何夕	传令兵，三米之内	2
玫瑰佐罗	超级期待	0
蜂唐罗隐	编剧是阿来⊙∀⊙！	1
月追彩云	吴京代表高质量，成龙代表垃圾片，我很忐忑最后出来的是啥。。。。	4
萑苇	期待上映！	2
轩宇	有章子怡瞬间就不想看了	2
fxiaom	以人类羸弱肉躯挑战大自然，本身就是一间值得尊重的事	0
吃瓜侠	喜欢吴京胡歌	2
