author	comment	vote	情感评分
腕骨	我就怕导演功力和剧本不行……拿出专业素养，不要白瞎了演员啊	1.0	0.9927385403066024
kkcatymb	我希望是我心目中的一部好片！阵容很强大，但是导演很后怕……	2.0	0.9924824075900477
直上青天	加油，这阵容很期待	2.0	0.992161086251815
Tirry	成龙和吴京在同一部电影中！		0.9919474972097937
hjh20050505	看导演，看编剧，看演员，这部影片必看。	1.0	0.9915651405923726
筋肉废宅	讲道理，预告片看着都尬出血了，不过主旋律的片子我是部部都看，部部都骂。不是我贱的慌，有一说一，为国家精神建设添砖加瓦是一回事，从个人情感方面出发去评价又是另一回事，先期待一下，希望不会再次失望	6.0	0.9913074661595285
木宁溪	来了，他们来了，他们顶着各自当年票房冠军的光环又来了...   国庆大作，还是期待一下??	2.0	0.9908985801509103
大瓢儿	这个演员阵容，必须期待	2.0	0.99080234137783
??	老胡状态不错，好奇会是怎么样呈现	3.0	0.9907815042500179
长乐无极	期待一下，希望不要成为赤裸裸的教育片噢，我还是喜欢润物细无声	0.0	0.9904831775269952
Komorebi	190216)我家女演员终于有新戏拍了…	7.0	0.9904106788817946
期君若虹	国庆档的几部电影都很错啊，一个一个慢慢看，还可以多刷，支持爱国	1.0	0.9901688216186872
浑河	被最近魔幻国产电影洗脑 心急 想看看阿京哥还能不能再给我洗洗眼 现在中国电影真的有用心在做的一个徐峥 一个吴京 别的我真的一言难尽	0.0	0.9899382649052686
已注销	这个演员阵容有点给力，就是导演有点不放心	5.0	0.9890018999830039
东方既白	演员让人放心，导演让人担心	3.0	0.9877738174766466
罗布泊泊	吴京，毫不夸张滴说，应该是华人影视圈第一个把天安门两边的标语通过电影语言讲明白的，而这部电影就是天安门城门楼子中间的头像		0.9875250482960404
朗月清风	sir：王炸阵容，他们联手要创造国产片新高度		0.986350112877467
??	冲着这个阵容也要去看。但是以导演这个历史作品的评分来看……何德何能诶	0.0	0.9847650010119994
??????	演员神仙阵容，导演看着吓人	4.0	0.9846432006029525
杨石泉	期待中...吴京再创辉煌！！	1.0	0.9845043500262488
滑稽面对一切	这部戏的导演不是吴京，所以在主旋律方面可能有不足！	3.0	0.9841941037679094
范迪塞尔	看导演以前作品还行吧，期待豆瓣伙伴们的试水评分	3.0	0.9836669569794977
芋圆布丁爱上墙	译外京喜cp＋章子怡 我他娘的太期待了	0.0	0.9831813305240463
蹦擦擦	演员和编剧都不错，导演什么玩意儿？非常期待被打脸。	39.0	0.9826791547503776
未央	目前来说，阵容还不错。	3.0	0.982646018387844
金枪小帅	国魂吴京先生又带着外挂来扫票房啦！	2.0	0.9824896484936594
[已注销]	带着五星红旗和伟人半身像成功登顶	5.0	0.9823554846910001
天然呆的七月	天安门三部曲！期待～	14.0	0.9821564723455339
CLF起得一手好名	想看是想看 但看到导演我的心已经凉了半截 拜托 导演上一部7分以上的电影都是20年前的事了 这么重要的片子认真一点做好吗？	4.0	0.9820260785134696
tot	这位导演也算是导演界的资源咖了吧，没有代表作，票房评分都不出色，但是每次拍戏都一堆大咖助阵	1.0	0.9812505443525287
蒲浦	全实力派阵容，无流量明星，导演还行（持怀疑态度），编剧阿来不必多说。是一部值得期待的电影，必看预订。	1.0	0.9811335683346076
周期性神经质	当年语文书上登珠峰的故事，茅奖得主阿来编剧……我就先标为敬了。	7.0	0.9807851511674334
已注销	看了预告？还是先导片？好震撼好想哭	8.0	0.9796584413337558
ふじわら ちか	导演的上一部是《盗墓笔记》…这一部估计6字头吧	2.0	0.9794541008315979
糖晓鹏灬	没有鹿晗吴亦凡杨颖黄晓明 爽	6.0	0.9785836944292986
Wait	好期待好期待好期待！	2.0	0.9780206217424449
虎皮青猫下水道	挺不错的题材，拍摄手法也很熟练，没有太多瑕疵。	0.0	0.9774735341770824
哲賦涵析（手襲	“几亿人民只能想着吃饭这点问题，我们这个民族又能有什么希望呢？！”预告片把人看哭了，哭完精神抖擞的电影不多了！	0.0	0.9757890310874258
Ren.	期待，等电影上映我一定要在影院喊一声“毛主席万岁！”	3.0	0.9757768191634638
Viye.	希望能看到的是艺术创作	2.0	0.9754081977265845
亚露	这个电影是点菜方式点演员嘛。。。。	1.0	0.9753910636695162
闸北陆小哄	章子怡真是女神	1.0	0.9749410480753965
lalaever	这个导演豆瓣几乎没有一部破6的电影 居然还能孜孜不倦地拍下去 可惜这阵容了真是666666	3.0	0.9744468339377913
萌萌哒的小鸭鸭	想看看章子怡	1.0	0.9728596164771576
特立独行的猪	呵呵 怎么也得破30亿 票房不够 单位学校包场支持	3.0	0.9715873903418195
长铗归	这阵容，票房稳了	1.0	0.968871323098732
乌龙的emma	妈呀 吴京和章子怡和张译  这三个人加起来就是想看	2.0	0.9683411545635456
夕兰	超级想看这类有精神内涵的写实电影	0.0	0.968109917482799
火鸟szs	中国应该算是很少拍这种类型的电影，期待啊	1.0	0.9663444287794405
wangzhen1116	不知该不该赞，就怕上映后蜂拥而至去攀登珠峰或者去大本营的粉丝们，你们可以想一下那么画面……	1.0	0.9661357496752674
坠露轻尘	心往一处想，劲往一处使，就能实现我们的梦想。	2.0	0.9661323189401514
夜曦如梦	吴京主演，必属精品	3.0	0.9660501402362401
梦幻恒王	哇，集合了所有人的口味，也集合了所有喜爱的演员，太强了。	3.0	0.9651019622664795
宁夏	有章子怡必扑街	1.0	0.9627115287345221
第五位面壁者	向中国的登山运动员致敬????????	3.0	0.9622739182038916
多读书多看报	吴京和张译感觉能碰撞出火花 期待	3.0	0.9616935572683544
基努	成龙的龙牌之谜，让我对这部电影产生了怀疑	6.0	0.9599031993400804
彬彬少年	我的天，这个阵容真是神仙阵容啊。	6.0	0.9584431926541066
JayWong	这阵容，除了导演，其他都满意	5.0	0.9566499433046439
珍贵的尧尧	就冲着胡歌，吴京，章子怡。我也一定去看。	3.0	0.9551966554889169
w_h_o萝北	惊险刺激动人	0.0	0.9544890024596469
YellowBig	刚微信认识了里面的一个演员??	2.0	0.954351211202975
L.John	加油，希望是好片	14.0	0.95411749647484
Creepy	喜欢这个阵容，可以去现场看偶像吗？	0.0	0.9535420046507206
Creepy	喜欢这个阵容，可以去现场看偶像吗？	0.0	0.9535420046507206
胡汉三又回来了	让我看看小京灵的下一步电影是什么样	3.0	0.9521271460141756
wokou5	这两年电影市场势头很好，至少那种大烂片是没多少人愿意浪费时间看了，若是好片必定全家支持	5.0	0.9515812006818783
姑射山草木	期待，加油!	1.0	0.9498621619876211
flanders	我要看半身像和揍藏独	3.0	0.9487857143632507
等边三角形二世	看到整容满心期待，可是为什么是个烂片王导演???????????	2.0	0.9481074576844767
Flimdown	开心 鸟最好了	2.0	0.9477673995458771
期待中的小屁屁	记住那段伟大的历史	4.0	0.9461470724441701
月追彩云	吴京代表高质量，成龙代表垃圾片，我很忐忑最后出来的是啥。。。。	4.0	0.9448061884954569
A～A	冲！中华民族	1.0	0.9444444444444444
自然天下雄	中华民族	1.0	0.9444444444444444
乌有卿	最喜欢的演员全都到这儿来了	3.0	0.9437524709073264
鱼带盐	烂王之王李老师……算啦。不去看啦…	1.0	0.9434848099346993
echo	这些人的演技还是很期待的	0.0	0.9416176037607631
殇?璃	导演是李仁港，电影的质量没有保障啊。。。	4.0	0.9413532094025244
Love紫	阵容强大	1.0	0.9403934528411116
喵喵的喵	预告很不错呀	3.0	0.9395632905984798
simple(简约主义	不会让人失望的一部正能量爱国电影	2.0	0.9387702066032435
清语	上映之后一定去贡献票房	1.0	0.9383850701073428
张十二三四五	吴京的电影就特别期待！！	1.0	0.9376522660160209
蔚珏。	正能量电影?	0.0	0.9371657725815614
梦幻哥哥	我京哥的电影必看	0.0	0.9367051494844357
灵犀	章子怡	0.0	0.9350851483655283
小聪明	章子怡	1.0	0.9350851483655283
塞北鸿鹄	章子怡	2.0	0.9350851483655283
沈炼	章子怡	2.0	0.9350851483655283
[已注销]	这个阵容全喜欢。真虎。	5.0	0.934260493452483
一世求	非常期待这部电影啊		0.9337445825099064
我有姿势我自豪	京宇宙!	0.0	0.9336305925719715
silver key	非常期待，不过希望导演发挥的好一点，不要有飞碟帽了。。	5.0	0.9334057628808164
刚刚走过	好电影，期待	2.0	0.9329527214748765
染衣y	阵容强大，很大期望	0.0	0.9327357127198088
流泪阿猫	世界人民大团结万岁	3.0	0.9313469416166179
麦田的守望者	歌唱我们伟大的祖国	2.0	0.931055858172417
書衣偵探華斯比	国庆节，吴京又来了！	24.0	0.9304294721092844
与你相约。	期待，大国崛起之攀登	3.0	0.9302416444759174
究竟彼岸	这个强大的阵容，只要不拍成烂片，必须值得买票观看	0.0	0.9285683516685078
埃瑞克(Eric)	这么强大的阵容怕还是救不了这个导演吧！	3.0	0.9259592939611339
pdidg	神吧三部曲完结篇，一定要看哟	0.0	0.9256237495635481
蚊子与粥	额，看了下这个导演瞬间想退票，不过还是感觉会去啊	0.0	0.924804132743025
开小心	登顶珠峰，我译哥，主旋律我也追了	1.0	0.9246637643818169
哈哈镜	我也想在荧幕上看看祖国的大好河山	0.0	0.9244736845463648
??	感觉这个导演可能是这部片里最大的变数。。。	777.0	0.9241643008321904
可可	还挺期待这部的	0.0	0.9222542859478559
奶酪陷阱	看了预告，挺感兴趣	0.0	0.9200823067783516
光影炸裂??	早就说好了要陪你一起看胡歌的两部新电影的??	4.0	0.9187230865839052
??Faye	哇，两个撞上了	1.0	0.917300542498002
卖糕的	很期待，这个配置票房不会差。更期待下一部蛟龙号开拍。	0.0	0.9160573206161391
靳爽	这部应该不错	12.0	0.9151355075385312
4.1	是中国版《极盗者》？还是《攀登梅鲁峰 》？让我们拭目以待。	3.0	0.9142490144088052
右手握着白莲花	我觉得这片可以缩减一下加入《我和我的祖国》中去	0.0	0.9139302864635503
老G	我要和你林叔叔一起看首映！	2.0	0.9122346196438569
一剑凌云	早就非常期待这部作品了，更想见胡歌，吴京	0.0	0.9114983736342805
txchun	期待吴京打败吴京	1.0	0.9114305924328917
Domini	??????看了下导演的作品有点担心……	234.0	0.9112356624101874
粮草先行	吴京的电影我大概率会去看一哈~	3.0	0.9103221709006519
hama2333	这个演员阵容简直闻所未闻，但我看了看导演的生平电影评分，突然一股难以言表的担心涌上心头.......	807.0	0.9102449989952113
落兮	这个阵容真是！！！惊叹！	12.0	0.9100506944722834
九和	好久不见子怡作品啊	5.0	0.9094601710736451
宇主子	吴京，成龙！	2.0	0.9093416785721853
冥王星来客1993	喜欢。正能量。	6.0	0.9045890656885334
嘉煒_Kavi	这演员阵容实在太豪华了	3.0	0.9005650579539951
律	就冲着故事背景，决定一定要去看下	0.0	0.9005283802998241
avernus	年度期待，但是看了下导演电影的平均分，有点点慌	3.0	0.8980664677213915
Scarlett	我爱阿中 先支持一下	3.0	0.8978604502156529
ourmfzh	在主力队员登顶之前，为保证他们不致体力过早消耗，登山队先组织了先遣队，建立起大本营及位于5400米、5900米和6400米的三个高山营地，队员们把几千公斤的高山装备、食品和燃料等先行运到这些营地。到了4月25日，登山队又在7007米和8500米建立四号营地和突击营地。	13.0	0.8958592850061793
精神分裂症患者	当年毛主席他老人家亲自接见了珠峰的攀登者	105.0	0.892656436674386
Echo不着急	十一最期待的片子哦	1.0	0.8886977641905589
神奇青卿	我就是喜欢吴京啊	0.0	0.8861227459314696
铁人.千万遍	坐等胡歌再一次升华~~加油！！	7.0	0.8838297092825893
青辰	期待吴京	0.0	0.8810370484049052
摸鱼儿	没有比脚更长的路，没有比人更高的山	1.0	0.8803511491984009
望城	国庆可以带家长去看的电影	0.0	0.8780743949870274
nkxy	群星璀璨，期待。	80.0	0.8777738431793559
风情小海龙	看着这个导演有点担忧啊	1.0	0.8738494459937428
菠萝沙冰！	这个阵容没有不期待的理由，但是李仁港导演近几年作品确实是不咋地。	1.0	0.8721376565201389
小米=qdmimi	虽然感觉就是压上一百个小目标也救不了李导，但这个阵容还是把人好吓	116.0	0.8720941928003243
哈哈哈啊啊啊	感觉不错	0.0	0.8714921964719127
我是你爸爸	吴京这部要是再爆，就票房封神了。	0.0	0.8702014573935335
水果拼盘	听说不错，放假了去看看	0.0	0.8672768672001295
水果拼盘	听说不错，放假了去看看	0.0	0.8672768672001295
Mr. Tang	这是老胡今年的第二部大银幕作品啦！	8.0	0.8667436876714646
已注销	攀登者预告片好像波司登的广告 吴京的片子看本子都很喜欢 看预告分分钟劝退[微笑]	1.0	0.8580868558274625
小菊花大淑女	吴京放过我	1.0	0.855948838728563
击灭	导演是不稳定因素啊～	1.0	0.8541088142000401
大大雨	对电影没兴趣！《绝命海拔》更是我喜欢的类型。对主旋律题材不太感冒。最重要的是很想看张译的演技	0.0	0.8519288527026422
秦时明月	这卡司可太豪华了。	1.0	0.8515606805919462
艾迪逊	胡歌电影处女座	1.0	0.850486431732396
幻海沉沙	还是挺期待的	0.0	0.8487548724354752
甜甜圈	有吴京 想带全家去看	1.0	0.8481917445134826
花裤衩君	记录一下吧，我是第2000个想看的，也是有意义了	2.0	0.8466663298917203
天牛	唯一让我不放心的也就是导演了……	3.0	0.8461963040076064
